timestamp,Whole,AC.central.rear,AC.central.forward,AC.central.Left,AC.central.right,AC.central.monkey,AC.central.Hobs,AC.central.tiger
12/1/2015 8:17:18,56,1256.5,1258.75,1256.25,1258.5,27886,1256.62,1254.59
12/1/2015 8:17:19,56,1258.5,1259.75,1258,1258.5,31898,1257.75,1255.38
12/1/2015 8:17:20,56,1258.5,1258.75,1257.75,1258.25,12676,1258,1256.04
12/1/2015 8:17:21,56,1258.25,1259.5,1257.75,1258.75,12445,1258.31,1256.61
12/1/2015 8:17:22,56,1259,1261.5,1258,1261.25,26106,1259.03,1257.21
12/1/2015 8:17:23,56,1261,1263.5,1260.5,1263.25,37149,1260.52,1258.04
12/1/2015 8:17:24,56,1263,1264.25,1260.75,1262,35633,1261.51,1258.91
12/1/2015 8:17:25,56,1262.25,1263.75,1261.75,1263.25,15955,1262.13,1259.71
12/1/2015 8:17:26,56,1263.25,1263.5,1262.25,1263.25,10577,1262.5,1260.41
12/1/2015 8:17:27,56,1263,1263.25,1261.75,1262.25,7914,1262.5,1260.93
12/1/2015 8:17:28,56,1262.25,1263,1261.25,1261.5,16068,1262.31,1261.28
12/1/2015 8:17:29,56,1261.25,1263,1261,1263,12669,1262.16,1261.5
12/1/2015 8:17:30,56,1263,1264.75,1262.5,1263.25,18837,1262.89,1261.85
12/1/2015 8:17:31,56,1263.25,1265,1263,1264,24444,1263.45,1262.25
12/1/2015 8:17:32,56,1264,1265.25,1263.75,1264,21066,1263.97,1262.68
12/1/2015 8:17:33,56,1263.75,1266.5,1263.75,1265.5,28230,1264.55,1263.15
12/1/2015 8:17:34,56,1265.5,1267,1265,1266,26263,1264.91,1263.37
12/1/2015 8:17:35,56,1266,1269.5,1266,1269.25,45737,1266.33,1264.11
12/1/2015 8:17:36,56,1269,1270.75,1269,1269.5,36537,1268.1,1265.11
12/1/2015 8:17:37,56,1269.25,1269.5,1266,1266.5,42374,1267.93,1265.81
12/1/2015 8:17:38,56,1266.25,1267.25,1265.5,1266.75,45425,1267.15,1266.15
12/1/2015 8:17:39,56,1266.75,1269.5,1266.25,1268,50138,1267.51,1266.49
12/1/2015 8:17:40,56,1268,1268.75,1267.5,1268.25,13429,1267.82,1266.82
12/1/2015 8:17:41,56,1268.25,1268.5,1267.5,1267.5,25764,1267.91,1267.09
12/1/2015 8:17:42,56,1263.75,1265.25,1263.5,1264.25,57552,1266.14,1266.86
12/1/2015 8:17:43,56,1264.25,1264.25,1262.75,1264,26223,1264.82,1266.35
12/1/2015 8:17:44,56,1264,1266.5,1263.75,1265.5,28255,1264.97,1266
12/1/2015 8:17:45,56,1265.5,1266,1262.75,1265.25,26892,1264.67,1265.67
12/1/2015 8:17:46,56,1265.25,1267.5,1265,1265.25,40434,1265.46,1265.62
12/1/2015 8:17:47,56,1265.5,1266.75,1263.75,1266.25,23628,1265.36,1265.55
12/1/2015 8:17:48,56,1266,1266.5,1264,1265,18850,1265.3,1265.49
12/1/2015 8:17:49,56,1265,1265.25,1263,1263.25,24491,1264.71,1265.3
12/1/2015 8:17:50,56,1263.5,1264,1262,1262.75,32784,1263.86,1264.94
12/1/2015 8:17:51,56,1262.75,1263.75,1261.75,1261.75,20790,1263.3,1264.53
12/1/2015 8:17:52,56,1261.75,1262.75,1261.25,1262.75,16382,1262.83,1264.22
12/1/2015 8:17:53,56,1263,1263.25,1261.25,1261.25,20714,1262.65,1263.97
12/1/2015 8:17:54,56,1261.25,1263.25,1261.25,1262,13543,1262.45,1263.59
12/1/2015 8:17:55,56,1262,1263.75,1262,1263.25,13335,1262.66,1263.36
12/1/2015 8:17:56,56,1263,1263.25,1261.5,1261.75,9602,1262.52,1263.15
12/1/2015 8:17:57,56,1262,1262,1260.25,1260.5,19151,1261.82,1262.82
12/1/2015 8:17:58,56,1260.5,1261.75,1260,1261.25,24096,1261.35,1262.45
12/1/2015 8:17:59,56,1261.5,1261.75,1259.75,1260.5,17531,1261.05,1262.1
12/1/2015 8:18:00,56,1260.5,1262,1260.25,1261.5,15880,1261.09,1261.85
12/1/2015 8:18:01,56,1261.75,1263.25,1261.5,1262.75,16791,1261.73,1261.82
12/1/2015 8:18:02,56,1262.75,1262.75,1261.75,1262,11195,1261.99,1261.86
12/1/2015 8:18:03,56,1262.25,1262.25,1261,1261.75,9352,1261.81,1261.85
12/1/2015 8:18:04,56,1261.5,1262,1259,1259.5,21411,1261.15,1261.67
12/1/2015 8:18:05,56,1259.5,1259.5,1257.75,1258.5,25192,1259.89,1261.23
12/1/2015 8:18:06,56,1258.25,1258.75,1257.75,1258.5,13550,1259.07,1260.69
12/1/2015 8:18:07,56,1258.25,1261,1258.25,1260.75,21681,1259.28,1260.42
12/1/2015 8:18:08,56,1260.75,1260.75,1259.75,1260.25,9704,1259.71,1260.27
12/1/2015 8:18:09,56,1260.25,1261.5,1260.25,1260.5,12608,1260.29,1260.27
